YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE,SALE_DATE,PROFIT,ODOMETER
2008,Toyota,Camry,LE,sedan,automatic,4t1be46k68u755356,ca,34,gray,gray,simon funding inc,5750,7200,2015-06-03T05:30:00-07:00,30:00.0,1450,129256
2008,Toyota,Avalon,XLS,sedan,automatic,4t1bk36b78u319019,tx,44,off-white,beige,cm investments,12150,13400,2015-06-03T03:00:00-07:00,00:00.0,1250,54849
2008,Saturn,VUE,XE,suv,,3gsdl43n28s523410,pa,3,gray,gray,el mor chevrolet inc,7250,7500,2015-06-05T02:00:00-07:00,00:00.0,250,72188
2008,Porsche,Cayenne,S,suv,,wp1ab29p48la37751,pa,41,gray,black,r hollenshead auto sales inc,21100,22000,2015-06-05T02:00:00-07:00,00:00.0,900,60385
2008,Scion,xD,Base,hatchback,manual,jtkku10408j005106,nc,36,silver,black,hendrick bmw,6750,7100,2015-06-03T07:00:00-07:00,00:00.0,350,71366
2008,Volkswagen,Eos,Lux,convertible,,wvwfa71f18v002356,pa,27,white,black,tdaf remarketing,10350,10400,2015-06-11T06:15:00-07:00,15:00.0,50,58275
2008,Volkswagen,Passat,Komfort,sedan,automatic,wvwak73c58e198294,ca,25,gray,black,elite auto sales/leasing,3900,4900,2015-06-03T05:30:00-07:00,30:00.0,1000,128936
2008,Volvo,XC90,3.2,suv,automatic,yv4cy982181453448,mi,29,gray,tan,erhard bmw of farmington hills,5725,7000,2015-06-04T02:30:00-07:00,30:00.0,1275,132767
2008,Volkswagen,Jetta,Wolfsburg Edition,sedan,automatic,3vwrj71k58m184712,az,29,gray,gray,chapman corporate wholesale,7625,8400,2015-06-04T05:00:00-07:00,00:00.0,775,63054
2008,Volvo,C70,T5,convertible,automatic,yv1mc67228j050157,az,25,white,white,wells fargo dealer services,13400,13800,2015-06-04T05:00:00-07:00,00:00.0,400,44217
2008,Volvo,XC90,3.2 Special Edition,suv,,yv4cz982081447203,pa,33,blue,beige,hrft finance inc,9000,11250,2015-06-19T02:00:00-07:00,00:00.0,2250,94229
2008,Toyota,Highlander,Base,suv,,jtees41a482068828,ca,34,gold,beige,coast sports cars inc,9125,10400,2015-06-03T05:15:00-07:00,15:00.0,1275,160474
2008,Volkswagen,Touareg 2,VR6 FSI,suv,,wvgle77l38d050270,pa,43,gray,gray,adcock brothers inc,10050,11750,2015-06-05T02:00:00-07:00,00:00.0,1700,79622
